,content_id
6116,213605
6173,202106
4120,199372
175,195861
7876,190170
7900,180858
2065,176043
2064,176043
2063,176043
4492,173769
3365,172575
3364,172574
3363,172573
4696,172408
1278,171098
6370,169945
2946,167589
2947,167589
2948,167588
2595,160858
2594,160858
2593,160857
7218,160300
7217,160300
7216,160300
7219,160298
10686,137001
10688,133046
294,130917
10685,127229
10684,126207
10687,125019
3878,119440
6879,107082
6880,107081
6877,107081
6878,107081
3731,94988
4995,91346
4414,87664
1315,87652
6908,82181
6911,82178
6909,82169
6910,82165
877,78426
3717,74876
4476,73045
853,72597
4108,71711
951,71035
5177,69603
6318,69290
199,66866
7898,66146
738,65557
4821,65438
824,65117
6117,64863
5616,63456
446,62690
6120,62552
834,62362
9259,61825
762,61144
6002,61109
4258,60925
335,60616
5703,60387
6119,60184
638,59971
405,59401
1313,59144
4416,58866
6668,58522
3871,58320
4340,58303
3852,57766
1296,57764
4966,57721
4406,57543
587,57415
3859,57289
6185,57228
665,56920
6,56707
5192,56461
279,56140
3986,55885
288,55822
4257,55705
5038,55591
920,55134
6422,54811
3635,54719
5183,54471
5339,54213
721,54054
3854,54038
1192,53961
5585,53853
6453,53675
9283,53629
4501,53090
5713,52784
3636,52624
5708,52490
996,52450
5173,52333
6114,52268
438,51717
4467,51534
5350,51456
6087,51125
5581,50646
4496,49513
5335,49332
4237,48612
5615,48471
7863,48307
5664,47959
3642,47955
5247,47916
7859,47486
185,47470
6118,47398
9,47346
4533,47173
4975,46943
5592,46939
5250,46753
5698,46413
6005,46347
7964,46286
5694,46255
4519,46224
4818,46212
5262,45977
4807,45951
4074,45865
4464,45379
5673,45275
972,45220
773,45049
3855,45026
2,44905
6155,44756
6151,44747
4470,44670
4130,44603
660,44584
5671,44512
538,44356
1265,44319
3153,43979
6058,43857
5582,43851
8284,42943
1239,42938
6425,42775
5620,42692
421,42443
4412,42275
5596,42115
6661,42032
901,41944
3609,41937
236,41764
4992,41686
695,41519
553,41345
4987,41309
766,41224
886,41159
189,41095
5213,41021
4417,40788
5670,40782
4065,40697
1291,40475
55,40452
981,40441
4428,40158
4421,39921
6106,39848
4123,39825
1036,39646
217,39639
5340,39615
4454,39431
5600,39173
4141,39143
6430,39134
6429,38841
6152,38434
3857,38372
4979,38355
1249,38256
6435,38105
5348,37856
855,37746
589,37529
4425,37369
651,37285
5029,37251
7910,37242
4702,37231
3641,37145
1114,37075
5980,37054
731,37046
6437,36970
134,36909
5271,36833
7942,36773
3988,36758
291,36724
5181,36688
45,36674
4002,36551
5692,36514
5197,36496
4710,36400
7927,36314
258,36278
6394,36189
58,36149
5628,36090
5266,36066
1367,36035
1260,35989
572,35815
5165,35733
64,35643
969,35442
5257,35434
4664,35332
6102,35249
3639,35193
6451,34961
4419,34794
110,34792
4766,34531
7926,34520
5588,34410
4117,34378
999,34361
6797,34343
6759,34334
6757,34315
4240,34310
6758,34298
6760,34297
98,34217
1217,34164
6091,34132
204,34127
4976,34058
6866,34039
763,34035
6868,34023
6865,34019
6867,34009
4451,33722
396,33707
3970,33621
6264,33610
5717,33540
130,33521
4984,33520
4998,33457
3944,33454
1250,33446
372,33383
1383,33383
4494,33357
5668,33356
6180,33199
157,33138
757,33054
6673,33040
187,32884
4039,32873
6873,32813
6876,32809
4259,32798
6875,32788
6874,32787
447,32772
904,32724
4244,32680
4480,32634
5624,32628
582,32592
1369,32585
3853,32524
242,32492
984,32374
6256,32348
5706,32324
748,32286
5222,32285
3643,32271
506,32231
4248,32178
7903,32117
10540,32113
4447,32030
3644,31948
1029,31892
4,31736
4405,31693
6381,31686
560,31645
6659,31620
4020,31572
1002,31520
1100,31441
4212,31415
3928,31410
5199,31392
6808,31389
52,31374
4418,31365
802,31347
8216,31296
290,31284
817,31263
6263,31251
1194,31188
4466,31161
4078,31141
183,31057
4836,31030
10,31024
3862,30877
1174,30855
1223,30780
6108,30710
3974,30704
5030,30698
8468,30698
5223,30680
787,30526
6143,30515
172,30430
6870,30425
6871,30415
5158,30413
6869,30411
5619,30404
6872,30399
593,30185
1344,29955
7901,29955
5627,29933
7974,29899
4427,29875
149,29873
4114,29872
412,29845
5216,29836
4256,29784
6844,29783
6842,29777
39,29776
6841,29760
6843,29758
876,29739
6895,29684
6893,29672
4424,29672
6894,29671
6892,29668
10075,29648
1075,29538
4118,29506
3632,29492
6283,29208
6767,29158
4040,29148
1233,29140
6766,29124
6768,29114
6765,29113
6125,29093
5660,29063
4253,29025
6469,29004
967,28973
5154,28961
4528,28928
795,28883
4436,28847
4465,28829
3628,28828
4456,28760
541,28758
4996,28748
10073,28739
4568,28739
10072,28739
10071,28739
10070,28736
277,28691
5182,28668
6268,28633
5242,28577
4432,28545
423,28506
1330,28447
5351,28376
525,28375
6475,28361
3180,28348
3182,28348
3181,28332
4439,28291
6477,28207
434,28201
599,28195
311,28189
5267,28160
5720,28124
725,27998
5256,27974
5498,27957
4446,27941
4784,27913
5738,27898
165,27884
403,27867
484,27804
5241,27752
983,27689
6292,27687
4997,27659
5669,27648
4755,27643
1110,27609
4709,27602
1359,27565
107,27557
5658,27556
1339,27516
5255,27513
4472,27480
5626,27431
3968,27375
5254,27300
7904,27242
691,27206
5180,27170
6191,27158
270,27085
1074,27085
21411,27051
6154,27042
1290,27033
6441,27004
5243,26990
7945,26953
402,26939
1224,26913
5156,26897
481,26866
4100,26851
829,26816
5861,26752
1145,26735
9272,26731
6266,26727
6431,26713
1181,26693
5168,26620
3965,26617
1279,26506
1111,26466
159,26419
355,26414
5508,26394
4768,26363
4455,26350
5718,26316
4411,26286
10074,26285
10076,26284
10077,26283
1083,26281
756,26269
4490,26253
6265,26239
6255,26219
6259,26187
5005,26167
76,26165
7984,26137
5701,26096
5614,26039
6816,25994
6814,25992
6815,25977
6813,25974
482,25952
5327,25915
307,25896
625,25890
4429,25879
5565,25718
4473,25683
5006,25666
5704,25652
422,25602
1096,25525
5263,25502
772,25491
739,25489
728,25482
6688,25477
4534,25424
6611,25404
6612,25404
6609,25403
6610,25403
5155,25320
5427,25315
939,25310
7867,25307
1087,25283
809,25280
6674,25280
6184,25271
4718,25255
761,25085
6587,25027
6586,25020
6588,25016
6585,25015
376,25011
4433,24988
5330,24987
1131,24978
7981,24965
6638,24957
6640,24954
6639,24950
6637,24942
5326,24926
1334,24868
5186,24858
6078,24798
284,24787
5329,24783
544,24778
379,24771
5273,24762
6456,24762
186,24753
5325,24735
1207,24691
10078,24660
10081,24660
10079,24660
10080,24660
1256,24658
4142,24648
420,24641
1252,24610
3945,24605
5334,24564
3864,24536
786,24521
89,24468
454,24463
3366,24377
3368,24372
3367,24370
296,24359
5202,24347
4434,24325
4102,24274
216,24242
6224,24201
1322,24157
29695,24126
51,24107
783,24097
7965,24043
724,24005
4453,24004
668,23995
5716,23991
4103,23970
191,23939
4089,23938
1373,23921
6660,23907
244,23863
4478,23844
341,23793
4706,23765
5712,23762
56,23755
6124,23724
3858,23666
2819,23654
2820,23652
2818,23650
5261,23637
4779,23622
399,23612
6280,23607
5000,23606
1010,23567
5178,23514
1047,23497
654,23472
329,23451
5598,23416
171,23392
6286,23391
466,23354
441,23351
7915,23344
6798,23341
646,23340
6800,23337
6799,23326
554,23314
5696,23294
6246,23280
3610,23273
6856,23250
6854,23250
6855,23249
6853,23248
144,23238
6859,23237
6857,23229
6858,23225
6860,23222
371,23219
507,23203
749,23195
6115,23177
3990,23166
597,23166
7920,23153
6393,23126
6445,23110
9896,23098
5691,23082
8317,23043
262,23037
4129,23035
6004,23022
65,22989
3,22973
5657,22966
4569,22959
6281,22942
3633,22906
723,22875
6443,22872
369,22868
1202,22841
9312,22841
6580,22813
6578,22810
1267,22807
6577,22800
6579,22791
6291,22769
5715,22768
9285,22741
4981,22720
7905,22716
15888,22627
4231,22592
4982,22559
1314,22535
2900,22505
2898,22505
122,22504
2899,22502
5563,22494
156,22493
6167,22471
556,22467
194,22464
997,22445
152,22422
3998,22406
5674,22398
4413,22381
4502,22380
6631,22379
4495,22376
6632,22375
6629,22374
960,22374
6630,22358
214,22340
3841,22336
3983,22333
1103,22327
526,22292
6130,22253
7933,22213
568,22199
4423,22194
4539,22176
4463,22158
6261,22154
4978,22117
6436,22117
7896,22086
758,22084
620,22066
6440,22065
8494,22033
5166,22004
4481,22003
5221,22000
5387,21954
775,21951
926,21950
5589,21895
948,21880
5207,21868
3961,21816
6279,21797
5238,21797
588,21797
6771,21741
7860,21733
6769,21731
4431,21729
6772,21723
6770,21722
3076,21666
3077,21664
3075,21659
3966,21653
4430,21641
5392,21582
1245,21541
114,21497
5185,21496
4057,21490
426,21466
104,21446
180,21438
5012,21422
50,21401
750,21384
5752,21375
6650,21359
324,21349
7892,21348
25,21307
4556,21285
4254,21264
325,21253
27845,21250
8454,21245
915,21221
349,21212
414,21212
5270,21210
4980,21206
5347,21174
1309,21173
4851,21158
4064,21144
26335,21118
1109,21091
7894,21063
365,21057
222,21024
3893,21009
18,20966
32312,20943
29544,20941
6624,20933
6623,20927
5002,20923
6622,20922
6621,20919
4080,20918
6183,20909
4145,20889
1067,20878
632,20867
4457,20847
6258,20839
5341,20808
6101,20800
5007,20787
5287,20755
6739,20754
6738,20744
3899,20737
4771,20736
6737,20733
6740,20728
1393,20711
7971,20686
4105,20664
6427,20660
5264,20657
8330,20591
1186,20589
6016,20588
28,20585
4147,20582
7979,20527
4152,20467
753,20458
1731,20450
1158,20403
437,20400
6262,20396
5579,20395
4437,20392
675,20385
937,20346
5993,20345
4261,20336
386,20329
120,20313
15,20295
734,20295
12,20294
5404,20263
193,20259
4530,20257
8219,20246
123,20241
3123,20228
1534,20224
1533,20221
1532,20218
108,20200
4667,20183
6293,20160
4734,20134
6704,20132
6702,20131
6701,20131
6703,20130
1085,20127
1335,20111
6046,20110
6460,20106
6576,20096
6575,20083
7935,20078
6573,20077
6574,20077
4529,19996
6007,19988
1399,19982
1372,19961
1105,19960
845,19914
5244,19904
5212,19892
7951,19883
628,19865
6907,19829
8460,19823
5707,19820
6905,19817
6472,19817
6906,19816
6904,19812
4704,19797
5285,19773
6500,19761
6498,19760
5281,19757
6499,19756
4217,19756
6497,19755
3179,19752
3177,19743
3178,19743
729,19705
1342,19687
240,19684
4458,19681
253,19651
213,19650
1232,19636
128,19619
5265,19606
1064,19537
923,19491
9289,19468
4542,19449
4190,19446
6695,19439
6694,19439
6693,19439
6696,19439
7922,19409
208,19409
6921,19408
255,19407
3289,19403
3290,19403
3288,19403
6922,19401
6920,19400
6923,19398
1154,19396
7983,19396
6761,19391
6778,19378
6779,19377
6780,19376
6777,19376
8708,19372
622,19370
9693,19360
955,19351
3748,19347
930,19339
5013,19332
4067,19324
854,19319
994,19305
4727,19257
501,19256
7710,19239
7711,19239
7712,19239
7709,19238
7713,19238
7899,19229
5455,19219
6107,19218
1755,19215
6372,19212
1756,19208
1754,19200
6562,19194
6563,19191
6564,19190
6561,19187
3985,19182
18545,19167
6013,19157
5246,19152
6481,19141
62,19112
368,19111
7972,19110
5352,19076
645,19062
7949,19052
706,19041
4700,19025
7854,19019
14325,19004
5220,19004
6889,18995
5928,18988
6890,18987
6891,18984
455,18944
3603,18944
5679,18934
6449,18931
3980,18930
6444,18930
3926,18929
9260,18927
6095,18926
5611,18913
235,18866
683,18851
6915,18832
6912,18823
1184,18822
6913,18817
6914,18812
88,18800
5324,18798
4692,18798
5367,18786
61,18778
583,18768
580,18732
549,18717
1016,18711
239,18691
702,18668
3758,18663
4222,18614
6000,18600
7916,18595
4740,18591
6254,18588
3767,18556
5680,18537
83,18521
6663,18519
4498,18507
4408,18503
6595,18485
6596,18477
6594,18477
