content_id,right,wrong,correct_rate
3572,5,0,1.0
4741,18,0,1.0
7548,11,0,1.0
7549,11,0,1.0
7566,14,0,1.0
7568,15,0,1.0
7850,20,0,1.0
12615,148,0,1.0
12806,140,0,1.0
12809,148,0,1.0
12923,144,0,1.0
12949,125,0,1.0
12745,184,1,0.9945945945945946
12803,178,1,0.994413407821229
12836,175,1,0.9943181818181818
12919,161,1,0.9938271604938271
12834,152,1,0.9934640522875817
12735,150,1,0.9933774834437086
10626,5677,42,0.99265605875153
12515,221,2,0.9910313901345291
10440,5678,54,0.9905792044661549
13122,100,1,0.9900990099009901
13159,98,1,0.98989898989899
13171,96,1,0.9896907216494846
1679,6874,74,0.989349453080023
12644,180,2,0.989010989010989
12742,160,2,0.9876543209876543
12720,159,2,0.9875776397515528
12805,158,2,0.9875
12642,157,2,0.9874213836477987
